instrument_id;name;symbol;alltime_high;preshake_high;first_shaken_at;first_shaken_price;recent_high;last_price
40;Analog Devices Inc.;ADI;68.75;47.95;2002-07-25;23.03;68.75;51.05
101;ALLIANCE HEALTHCARE SERVICE;AIQ;76.75;76.75;2002-11-13;36;25.17;7.21
146;ADVANCED MICRO DEVICES;AMD;42.1;20;2002-06-07;9.81;3.31;2.12
152;AMERICAN AIRLINES GROUP INC;AAL;55.76;29.05;2002-07-10;14.33;55.76;38.88
490;AVIS BUDGET GROUP INC;CAR;250.7;199.9;2002-10-09;90.4;64.83;25.35
683;TIPTREE FINANCIAL INC - A;TIPT;10.18;10;2008-11-19;4.56666666666667;7.59;5.9
707;CSX CORP;CSX;37.91;23.02;2008-11-19;10.92;37.46;21.97
744;CYPRESS SEMICONDUCTOR CORP;CY;39.39;25.04;2002-07-25;11.5;15.95;8.07
839;Amdocs Ltd;DOX;60.98;39.01;2002-05-06;18.05;60.98;52.15
1055;FAIRCHILD SEMICONDUCTOR INTE;FCS;31.85;31.85;2002-08-05;15.31;21.19;20.22
1170;FIFTH STREET FINANCE CORP;FSC;14.12;14.12;2008-10-08;6.82;8.49;5.28
1183;FRONTIER COMMUNICATIONS CORP;FTR;15.91;11.33;2002-07-26;4.6;8.42;4.19
1338;Goodyear Tire & Rubber Co.;GT;36.63;28.31;2002-08-20;14.1;35;27.81
1888;MARRIOTT INTERNATIONAL-CL A;MAR;84.83;51.87;2008-07-01;25.87;84.83;60.12
1890;Mattel, Inc.;MAT;47.82;29.65;2008-10-09;14.26;30.2;26.74
1945;MoneyGram International, Inc.;MGI;289.6;289.6;2007-10-22;144.48;10.61;5.32
2059;Micron Technology Inc.;MU;39.5;39.5;2002-06-20;18.4;32.33;10.48
2307;Office Depot Inc.;ODP;44.46;21.74;2003-03-07;10.86;9.68;4.96
2336;OLD NATIONAL BANCORP;ONB;26.68;26.68;2008-01-08;13.26;14.94;11.29
2387;T-MOBILE US INC;TMUS;80.66;80.66;2007-10-23;39.28;43.03;37.89
2500;Pinnacle Entertainment, Inc.;PNK;40.39;12.36;2002-10-15;5.86;40.39;28.53
2822;SLM CORP;SLM;58.12;58.12;2007-12-12;28.49;10.7;6
3085;Texas Instruments Inc.;TXN;59.94;35.71;2002-09-18;17.61;59.94;50.08
3171;VIACOM INC-CLASS A;VIA;88.94;44.95;2008-10-07;22.46;72.34;44.93
3172;VIACOM INC-CLASS B;VIAB;88.9;44.92;2008-10-07;22.15;72.24;42.03
3219;WALGREENS BOOTS ALLIANCE INC;WBA;96.68;51.48;2008-10-09;25.28;96.68;78.71
3233;WESTERN DIGITAL CORP;WDC;114.28;7.5;2002-06-21;3.53;111.31;42.47
3237;WENDY'S CO/THE;WEN;31.74;31.74;2003-09-05;9.87;11.575;9.67
3254;WINDSTREAM HOLDINGS INC;WIN;96;96;2008-10-24;45.96;53.88;5.63
3296;WILLIS TOWERS WATSON PLC;WLTW;131.761589403974;122.675496688742;2008-10-23;57.0860927152318;131.761589403974;110.12
4135;SKYPEOPLE FRUIT JUICE INC;SPU;9.75;4.5;2004-07-27;1.95;1.53;0.6
4256;HONGLI CLEAN ENERGY TECHNOLO;CETC;256.8;192;2002-06-11;76.8;3.03;0.428
4309;Antares Pharma Inc;ATRS;5.32;4.98;2002-08-06;2.2;2.97;1.09
4333;ACCELERATE DIAGNOSTICS INC;AXDX;30.56;2.35;2002-06-28;1.16;30.25;14.83
4414;COMMUNITY BANKERS TRUST CORP;ESXB;7.55;7.55;2008-10-07;3.48;5.44;5.12
4519;Neuralstem, Inc.;CUR;4.66;4.04;2008-04-15;1.77;3.83;0.66
4624;ENTERTAINMENT GAMING ASIA IN;EGT;560;560;2003-09-10;56;3;1.62
4640;EASTERN CO/THE;EML;33.25;33.25;2007-08-20;16.4;20.57;15.83
4659;EVER-GLORY INTERNATIONAL GRO;EVK;47.5;0.6;2002-08-07;0.2;6.64;2
4682;Full House Resorts, Inc;FLL;4.95;0.7;2002-06-26;0.33;1.77;1.35
4743;PERNIX THERAPEUTICS HOLDINGS;PTX;13;12.9;2002-06-28;6.26;11.89;2.27
4773;HIGHPOWER INTERNATIONAL INC;HPJ;9.7;6.84;2008-09-16;3.33;5.71;2.07
4804;TELIGENT INC;TLGT;11.52;0.92;2002-12-11;0.45;11.52;7.29
4824;Inovio Pharmaceuticals Inc;INO;30.4;13.6;2002-04-24;6.4;10.6;5.14
4867;Coffee Holding Co., Inc;JVA;29.35;14.87;2005-10-03;7.34;5.47;3.43
4910;MOUNTAIN PROVINCE DIAMONDS;MDM;6.64;1.5;2003-04-15;0.45;4.322;2.8
5006;CALADRIUS BIOSCIENCES INC;CLBS;680;680;2002-04-02;310;4.17;0.6259
5200;Rentech, Inc;RTK;53.2;8.4;2002-06-26;4.1;14;1.99
